,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Adventure and Outdoors,POI32,POI37,POI44,POI47,POI54,POI69,POI72,POI73,,,,,,,,,,,,,
Spiritual,POI7,POI14,POI15,POI16,POI17,POI28,POI29,POI42,POI46,POI53,POI55,POI56,POI57,POI58,POI60,POI62,POI70,,,,
Relaxing,POI10,POI11,POI12,POI18,POI19,POI20,POI21,POI24,POI27,POI30,POI38,POI50,POI51,POI59,POI61,POI64,POI67,,,,
City Life,POI39,POI40,POI33,POI41,POI65,POI66,POI71,POI25,POI26,POI45,,,,,,,,,,,
Cultural,POI36,POI49,POI68,POI1,POI2,POI3,POI4,POI8,POI9,POI22,POI23,POI48,POI5,POI6,POI13,POI31,POI34,POI35,POI43,POI52,POI63
